"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
"Atypical genitalia, infertility, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital genital anomalies","Mild abdominopelvic problem,  primary infertility, impotence, and level 1 disfigurement",(combined DW),--
Asymptomatic congenital anomalies of the urinary tract,--,--,--
Atypical genitalia due to congenital anomalies of the urinary tract,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.","0.011
(0.005-0.021)"
Incontinence due to congenital anomalies of the urinary tract,Urinary incontinence,cannot control urinating.,"0.139
(0.094-0.198)"
Impotence due to congenital anomalies of the urinary tract,Impotence,has difficulty in obtaining or maintaining an erection.,"0.017
(0.009-0.030)"
Recurrent urinary tract infections or other abdominal issues due to congenital anomalies of the urinary tract,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Atypical genital and recurrent urinary tract infections and other abdominal issues due to congenital anomalies of the urinary tract,Mild abdominopelvic problem and level 1 disfigurement,(combined DW),--
Atypical genitalia and incontinence due to congenital anomalies of the urinary tract,Mild abdominopelvic problem and level 1 disfigurement,(combined DW),--
Atypical genitalia and impotence due to congenital anomalies of the urinary tract,Level 1 disfigurement and impotence,(combined DW),--
Incontinence and recurrent urinary tract infections or other abdominal issues due to congenital anomalies of the urinary tract,Level 1 disfigurement and urinary incontinence,(combined DW),--
Impotence and recurrent urinary tract infections or other abdominal issues due to congenital anomalies of the urinary tract,Mild abdominopelvic problem and impotence,(combined DW),--
Incontinence and impotence due to congenital anomalies of the urinary tract,urinary incontinence and impotence,(combined DW),--
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and incontinence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, and level 1 disfigurement",(combined DW),--
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, level 1 disfigurement and impotence",(combined DW),--
Atypical genital and recurrent urinary tract infections and other abdominal issues due to congenital genital anomalies,Mild abdominopelvic problem and level 1 disfigurement,(combined DW),--
Atypical genitalia due to congenital genital anomalies,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.","0.011
(0.005-0.021)"
Recurrent urinary tract infections or other abdominal issues due to congenital genital anomalies,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
"Atypical genitalia, incontinence and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, and level 1 disfigurement",(combined DW),--
Asymptomatic congenital genital anomalies,--,--,--
Impotence due to congenital genital anomalies,Impotence,has difficulty in obtaining or maintaining an erection.,"0.017
(0.009-0.030)"
"Chronic abdominal pain, disfigurement and  chronic respiratory problems due to congenital diaphragmatic hernia","Mild abdominopelvic problem,  mild COPD and other chronic respiratory problems, and level 1 disfigurement with itch/pain ",(combined DW),--
"Chronic abdominal pain and/or nausea with acid reflux, dyspahgia, and/or constipation  due to other congenital malformations of the digestive tract",Mild abdominopelvic problem and moderate abdominopelvic problem,(combined DW),--
